Frequency,IntencityLevel(dB)Test1W/O-Foam,IntencityLevel(dB)Test2W/O-Foam,IntencityLevel(dB)Test3W/O-Foam,IntencityLevel(dB)Test1W-Foam,IntencityLevel(dB)Test2W-Foam,IntencityLevel(dB)Test3W-Foam
AmbientSound-45dB,,,,,,
277,110.2,110.3,110.1,109,109,108.9
554,98,98,98,97.4,97.6,97.4
831,104.4,104.4,104.4,104.4,104.3,104.3
1108,105.4,105.4,105.4,97.4,97.4,97.4
1385,100.4,100.4,100.4,95.6,95.6,95.6
1662,102.6,102.7,102.6,99.6,99.5,99.6
1939,119.5,119.3,119.5,110,110.1,110.1
2216,120.2,120.2,120.2,114.5,114.5,114.5
2493,101.1,101.1,101,93.3,93.3,93.6
2770,113.9,113.9,113.9,106.5,106.5,106.6
